get	/skill
get	/suggestion
post	/suggestion/{requestID}/accept
post	/suggestion/{requestID}/dismiss
post	/sync/history
post	/sync/replay
post	/sync/start
post	/sync/steal
post	/telemetry/capture
post	/telemetry/setEnabled
post	/tui/append-prompt
post	/tui/clear-prompt
get,patch	/tui/config
get	/tui/control/next
post	/tui/control/response
post	/tui/execute-command
get	/tui/keybinds
post	/tui/open-help
post	/tui/open-models
post	/tui/open-sessions
post	/tui/open-themes
post	/tui/publish
post	/tui/select-session
post	/tui/show-toast
post	/tui/submit-prompt
get	/vcs
post	/vcs/apply
get	/vcs/diff
get	/vcs/diff/raw
get	/vcs/status
